target_coverage,method,method_label,metric,n_retained,full,retained,d_full,d_random,p,q,significant_q05
0.7,siteholdout_uni2,"Weighted (UNI2, site-holdout)",sensitivity,107,0.71900826446281,0.7333333333333333,0.014325068870523316,0.01509518334561466,0.6693306693306693,0.777287228900132,False
0.7,siteholdout_uni2,"Weighted (UNI2, site-holdout)",specificity,107,0.9444444444444444,1.0,0.05555555555555558,0.056311978762867754,0.0999000999000999,0.1926644783787641,False
0.7,siteholdout_uni2,"Weighted (UNI2, site-holdout)",ece,107,0.22775966368000003,0.15003174209345793,-0.0777279215865421,-0.07803609448059812,0.001998001998001998,0.011988011988011988,True
0.7,siteholdout_uni2,"Weighted (UNI2, site-holdout)",cal_gap,107,-0.22775966368,-0.15003174209345793,0.07772792158654207,0.07803215409153272,0.001998001998001998,0.011988011988011988,True
0.7,siteholdout_uni2,"Weighted (UNI2, site-holdout)",bss,107,0.2013928647991392,0.4471705439222837,0.24577767912314452,0.2549982385313899,0.003996003996003996,0.020550877693734836,True
0.7,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",auroc,164,0.9141414141414141,0.9139894611592725,-0.00015195298214165653,-0.0002088978867627045,0.9110889110889111,0.9196037607252561,False
0.7,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",sensitivity,164,0.71900826446281,0.7207207207207207,0.0017124562579107216,0.0015363661606262458,0.8471528471528471,0.8939631796774654,False
0.7,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",specificity,164,0.9444444444444444,0.9622641509433962,0.017819706498951815,0.017555531350162412,0.025974025974025976,0.07581607581607581,False
0.7,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",ece,164,0.22775966368000003,0.21711934167073163,-0.0106403220092684,-0.010669519369152503,0.12387612387612387,0.222977022977023,False
0.7,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",cal_gap,164,-0.22775966368,-0.21711934167073166,0.010640322009268344,0.010669519369152475,0.12387612387612387,0.222977022977023,False
0.7,siteholdout_hoptimus,"Weighted (H-optimus, site-holdout)",bss,164,0.2013928647991392,0.24136477185341365,0.03997190705427445,0.0401993263909832,0.2217782217782218,0.33266733266733267,False
