signal,target_coverage,achieved_coverage,coverage_shift,calibration_cutoff,metric,full,retained,delta_vs_full,d_full,d_full_lo,d_full_hi,d_full_mde,p_full_raw,random_mean,random_lo,random_hi,delta_vs_random,pct_in_random,p_raw,retained_prev,random_prev,full_prev,n_retained,n_evaluation,family,predictor,tier,q_fdr,sig_fdr,q_fdr_full,sig_fdr_full
aleatoric,0.8,0.4645669291338583,-0.33543307086614177,0.332455206792666,accuracy,0.6850393700787402,0.9661016949152542,0.28106232483651405,0.27927924629692596,0.20182587651895623,0.36220472440944884,0.11662552370305289,0.0,0.6860508474576271,0.5932203389830508,0.7796610169491526,0.2800508474576271,1.0,0.001998001998001998,0.6949152542372882,0.5208474576271187,0.5196850393700787,59,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,auroc,0.9225037257824144,0.9654605263157895,0.04295680053337514,0.04327128428599073,-0.02222478824065513,0.10604433057273843,0.08830007506674402,0.176,0.9220689580119515,0.8692866161616161,0.9725651577503429,0.043391568303837946,0.947,0.10789210789210789,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.141287284144427,False,0.21119999999999997,False
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,auprc,0.9320934422175569,0.9800411852436823,0.04794774302612548,0.04817796182357012,0.0215214293834845,0.08025467469050125,0.044779488757355525,0.0,0.9328707545956053,0.8694832410155373,0.9785829688952332,0.04717043064807702,0.978,0.04595404595404595,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.07192807192807192,False,0.0,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,bss,0.5217635811208889,0.8358930724362927,0.3141294913154038,0.3113148773163873,0.1499430834582843,0.4655775881937083,0.22491769521162627,0.0,0.5158810658102803,0.3809555231113644,0.6437219439881962,0.3200120066260125,1.0,0.001998001998001998,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.002568859711716855,True,0.0,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,balanced_accuracy,0.6721311475409836,0.9375,0.2653688524590164,0.26158639554132906,0.17929331601061477,0.34791666666666665,0.11972118718966222,0.0,0.6729739930873657,0.6,0.7407407407407407,0.2645260069126343,1.0,0.001998001998001998,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,sensitivity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,1.0,False,1.0,False
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,specificity,0.3442622950819672,0.875,0.5307377049180328,0.523172791082658,0.35858663202122953,0.6958333333333333,0.2394423743793245,0.0,0.34594798617473155,0.2,0.48148148148148145,0.5290520138252685,1.0,0.001998001998001998,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,ppv,0.6226415094339622,0.95,0.3273584905660377,0.3252636645657899,0.23109536892608848,0.42596672475313246,0.1388837868829052,0.0,0.6240231656201414,0.5116149870801033,0.7391304347826086,0.3259768343798586,1.0,0.001998001998001998,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,npv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,1.0,False,1.0,False
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,f1,0.7674418604651163,0.9743589743589743,0.20691711389385803,0.206667160669136,0.1428374936575369,0.28003963865977827,0.09882628259487665,0.0,0.7669840890376618,0.6769117647058824,0.85,0.20737488532131254,1.0,0.001998001998001998,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,brier,0.11937378773682814,0.03421708229037517,-0.08515670544645296,-0.0841228195281173,-0.11871660908659584,-0.049277593599825156,0.048636761611513826,0.0,0.11946633387902703,0.08602341093125465,0.1529940465911154,-0.08524925158865185,0.0,0.001998001998001998,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.0026640026640026644,True,0.0,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,ece,0.10580637880901651,0.03365208953619003,-0.07215428927282648,-0.07828189494828793,-0.130328421145997,-0.021948439532680938,0.07578129370780859,0.006,0.13889956689729457,0.08859833304735798,0.19542202660641458,-0.10524747736110454,0.0,0.001998001998001998,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.004495504495504496,True,0.016615384615384615,True
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,cal_gap,0.061115441066542986,0.004200028324568672,-0.056915412741974314,-0.05583636601966675,-0.11862486003000454,0.005922004039292263,0.08850657223230424,0.074,0.06013646411806069,-0.011466193328508009,0.13562960928754397,-0.055936435793492015,0.071,0.14385614385614387,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.2157842157842158,False,0.10246153846153845,False
aleatoric,0.7,0.4251968503937008,-0.27480314960629915,0.2960656621773458,accuracy,0.6850393700787402,0.9629629629629629,0.27792359288422275,0.27593816073583777,0.1979379921259843,0.3599128534799646,0.11847983527934076,0.0,0.6863333333333334,0.5925925925925926,0.7777777777777778,0.27662962962962956,1.0,0.001998001998001998,0.7037037037037037,0.5205925925925926,0.5196850393700787,54,127,predictive,ensemble,confident,0.002766464304925844,True,0.0,True
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,auroc,0.9225037257824144,0.9291383219954649,0.006634596213050514,0.006682310010625683,-0.0010762845182407193,0.01758981282366429,0.01316841043154395,0.11,0.9225488899066191,0.9134125636672326,0.9359455695788773,0.00658943208884577,0.853,0.2957042957042957,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.3548451548451548,False,0.184,False
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,auprc,0.9320934422175569,0.9386451185880582,0.006551676370501358,0.006556187835276926,0.00010250057144489966,0.016084859796997357,0.01146491390627377,0.046,0.9322381130823774,0.9220003681436819,0.9501904256467468,0.006407005505680852,0.89,0.2217782217782218,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.24193987830351468,False,0.0552,False
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,bss,0.5217635811208889,0.5466056486895359,0.02484206756864693,0.024733283434961627,0.0006367404574773029,0.05814094306613471,0.04007271486171058,0.038,0.5215955085202705,0.4963762822187562,0.5540278126884922,0.025010140169265394,0.935,0.13186813186813187,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.14835164835164835,False,0.045599999999999995,True
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,balanced_accuracy,0.6721311475409836,0.6875,0.015368852459016424,0.01535866935680937,0.003531073446327637,0.030959030272748208,0.020428279067205582,0.01,0.6717763670911708,0.6551724137931034,0.6875,0.015723632908829166,0.97,0.061938061938061936,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.07432567432567433,False,0.012,True
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,sensitivity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,1.0,False,1.0,False
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,specificity,0.3442622950819672,0.375,0.030737704918032793,0.030717338713618744,0.00706214689265533,0.061918060545496305,0.040856558134411164,0.01,0.34355273418234167,0.3103448275862069,0.375,0.03144726581765833,0.97,0.061938061938061936,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.07432567432567433,False,0.012,True
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,ppv,0.6226415094339622,0.6428571428571429,0.020215633423180668,0.020024770045546324,-0.007820305240475533,0.05221197708055187,0.04198267615725649,0.17,0.622798507952672,0.6020408163265306,0.6464646464646465,0.020058634904470907,0.932,0.13786213786213786,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.1550949050949051,False,0.18,False
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,npv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,1.0,False,1.0,False
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,f1,0.7674418604651163,0.782608695652174,0.015166835187057637,0.014992356467412126,-0.005787550512934186,0.03991147788743068,0.03135872459522035,0.17,0.7674915853199905,0.7515923566878981,0.7852760736196319,0.015117110332183437,0.932,0.13786213786213786,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.1550949050949051,False,0.18,False
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,brier,0.11937378773682814,0.1129563781811537,-0.006417409555674436,-0.006406299099043013,-0.014822738388781011,-0.0003735697831833019,0.010219998598980047,0.032,0.119346763264067,0.11124563182058178,0.12578816005702967,-0.0063903850829133,0.063,0.12787212787212787,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.1484966646256969,False,0.038400000000000004,True
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,ece,0.10580637880901651,0.10505297598468155,-0.0007534028243349616,-0.002266552055575115,-0.02035373480814239,0.01857027407284864,0.027758532658606394,0.806,0.1093661732559382,0.09469199336814779,0.12392448738780844,-0.004313197271256647,0.271,0.5434565434565435,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.5589838732695876,False,0.806,False
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,cal_gap,0.061115441066542986,0.052216932741032895,-0.00889850832551009,-0.008814824880416116,-0.0298982490579338,0.01075808653084044,0.02791515877539869,0.372,0.061096145524040746,0.04560859827089968,0.07578518393629485,-0.00887921278300785,0.135,0.27172827172827174,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.27172827172827174,False,0.372,False
mean_within_encoder_mi,0.9,0.937007874015748,0.03700787401574801,0.0738099753682448,accuracy,0.6850393700787402,0.7058823529411765,0.020842982862436354,0.020693116111000505,-0.003310521443069267,0.04922956103567809,0.03652763095242279,0.084,0.6849831932773108,0.6638655462184874,0.7058823529411765,0.020899159663865685,0.941,0.11988011988011989,0.5294117647058824,0.5201176470588236,0.5196850393700787,119,127,epistemic,ensemble,confident,0.13921562308659083,False,0.09163636363636364,False
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,auroc,0.9225037257824144,0.9471726190476191,0.024668893265204717,0.024493724858101373,0.006975814736839459,0.046543945642466694,0.02900708716445689,0.006,0.9227773742891014,0.9025220734126984,0.9452552719200887,0.02439524475851762,0.982,0.03796203796203796,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.1027543884686742,False,0.09,False
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,auprc,0.9320934422175569,0.9528756262105395,0.020782183992982595,0.020755476006799313,0.006841583182400091,0.040783059249703706,0.024138425376951784,0.0,0.9323218283989816,0.9121349220663121,0.958485225599017,0.02055379781155786,0.934,0.13386613386613386,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.16063936063936063,False,0.0,True
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,bss,0.5217635811208889,0.6170388937898663,0.09527531266897737,0.09464241919147101,0.04193363728480075,0.15868203660499267,0.08107405409621228,0.0,0.5210912756100795,0.469205703338602,0.5793524620969794,0.09594761817978681,1.0,0.001998001998001998,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.002568859711716855,True,0.0,True
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,balanced_accuracy,0.6721311475409836,0.71875,0.046618852459016424,0.04680037243783451,0.02471762782982048,0.07690195016251357,0.038245684842871726,0.0,0.6715581561649114,0.64,0.6981132075471699,0.047191843835088565,0.999,0.003996003996003996,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.00513771942343371,True,0.0,True
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,sensitivity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,1.0,False,1.0,False
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,specificity,0.3442622950819672,0.4375,0.0932377049180328,0.09360074487566905,0.049435255659640895,0.15380390032502708,0.07649136968574344,0.0,0.34311631232982315,0.28,0.39622641509433965,0.09438368767017685,0.999,0.003996003996003996,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.00513771942343371,True,0.0,True
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,ppv,0.6226415094339622,0.6746987951807228,0.052057285746760606,0.052605286234028895,0.004230293073543359,0.1075306816876799,0.07448212916063637,0.038,0.62161277739526,0.5813953488372093,0.6667613636363635,0.05308601778546285,0.991,0.01998001998001998,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.02664002664002664,True,0.050666666666666665,False
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,npv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,1.0,False,1.0,False
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,f1,0.7674418604651163,0.8057553956834532,0.038313535218336914,0.03864497617277172,0.0032821872410936878,0.07763237163217687,0.05424244918506679,0.038,0.7664239809363103,0.7352941176470589,0.8000680272108843,0.03933141474714297,0.991,0.01998001998001998,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.02664002664002664,True,0.050666666666666665,False
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,brier,0.11937378773682814,0.09517376604038824,-0.024200021696439894,-0.02403471333523652,-0.0398530064110576,-0.011099482307625858,0.02032203699849973,0.0,0.11934120902146855,0.1048265643819533,0.13218860999704415,-0.02416744298108031,0.0,0.001998001998001998,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.0026640026640026644,True,0.0,True
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,ece,0.10580637880901651,0.09548074587319906,-0.010325632935817453,-0.012918792757802717,-0.04877730626667337,0.023334239418243058,0.0514015341667128,0.464,0.11543367428980912,0.09145059989890658,0.14084852422014452,-0.01995292841661006,0.06,0.12187812187812187,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.1625041625041625,False,0.5061818181818182,False
mean_within_encoder_mi,0.8,0.8188976377952756,0.018897637795275535,0.0545254781283055,cal_gap,0.061115441066542986,0.04543265879440772,-0.015682782272135265,-0.016274227488827925,-0.05289383101421933,0.017083132624151266,0.05093006852164917,0.372,0.06196117476305852,0.033544644651612054,0.08945898863827241,-0.0165285159686508,0.127,0.25574425574425574,0.5384615384615384,0.519,0.5196850393700787,104,127,epistemic,ensemble,confident,0.26305123447980594,False,0.372,False
