target_coverage,method,method_label,metric,n_retained,full,retained,d_full,random_mean,d_random,p,q,significant_q05
0.8,plain,Plain conformal,sensitivity,328,0.8461538461538461,0.8531073446327684,0.006953498478922238,0.846028657804941,0.007078686827827418,0.1958041958041958,0.226342464874575,False
0.8,plain,Plain conformal,specificity,328,0.9032258064516129,0.9139072847682119,0.010681478316599047,0.9033328129230292,0.010574471845182676,0.055944055944055944,0.06979159454406979,False
0.8,plain,Plain conformal,ece,328,0.05450363905964393,0.054347512966768305,-0.00015612609287562335,0.054675525915195734,-0.0003280129484274294,0.929070929070929,0.9365034965034964,False
0.8,plain,Plain conformal,cal_gap,328,-0.04626401046557865,-0.045881797002743974,0.0003822134628346796,-0.046237404336145774,0.00035560733340180006,0.9010989010989011,0.9230769230769231,False
0.8,plain,Plain conformal,bss,328,0.633596426619288,0.6518117850976539,0.018215358478365973,0.6336218124143368,0.018189972683317124,0.027972027972027972,0.03749442047314388,True
0.8,weighted_primary,Weighted (primary OOD-only),auroc,287,0.9479262672811061,0.9633304153292481,0.015404148048142052,0.9479582713131718,0.015372144016076339,0.011988011988011988,0.01716465352828989,True
0.8,weighted_primary,Weighted (primary OOD-only),sensitivity,287,0.8461538461538461,0.9060402684563759,0.05988642230252972,0.8465314669071353,0.05950880154924054,0.001998001998001998,0.004577240940877305,True
0.8,weighted_primary,Weighted (primary OOD-only),specificity,287,0.9032258064516129,0.9420289855072463,0.03880317905563346,0.902959308215436,0.03906967729181032,0.001998001998001998,0.004577240940877305,True
0.8,weighted_primary,Weighted (primary OOD-only),ece,287,0.05450363905964393,0.0365035487216028,-0.018000090338041126,0.05648476820604391,-0.019981219484441107,0.003996003996003996,0.006804006804006804,True
0.8,weighted_primary,Weighted (primary OOD-only),cal_gap,287,-0.04626401046557865,-0.026828444762717785,0.01943556570286087,-0.04615342013580277,0.019324975373084988,0.007992007992007992,0.012280402524304965,True
0.8,weighted_primary,Weighted (primary OOD-only),bss,287,0.633596426619288,0.7389511890522299,0.10535476243294195,0.6336934396535002,0.10525774939872967,0.001998001998001998,0.004577240940877305,True
0.8,weighted_fullfeat,Weighted (full-feature),auroc,298,0.9479262672811061,0.9609703211817321,0.013044053900626018,0.9479840226499875,0.0129862985317446,0.007992007992007992,0.012280402524304965,True
0.8,weighted_fullfeat,Weighted (full-feature),sensitivity,298,0.8461538461538461,0.8980891719745223,0.05193532582067617,0.8460835527781678,0.05200561919635449,0.001998001998001998,0.004577240940877305,True
0.8,weighted_fullfeat,Weighted (full-feature),specificity,298,0.9032258064516129,0.9361702127659575,0.03294440631434459,0.9035185053186102,0.032651707447347245,0.003996003996003996,0.006804006804006804,True
