predictor,family,target_coverage,signal_locked,cutoff_locked,signal_recal,cutoff_recal,primary_n,primary_achieved_cov,primary_nnd,primary_retained_acc,primary_full_auroc,primary_retained_auroc,primary_retained_auroc_lo,primary_retained_auroc_hi,primary_retained_auroc_mde,primary_retained_accuracy_lo,primary_retained_accuracy_hi,primary_retained_accuracy_mde,primary_d_full_auroc,primary_d_full_accuracy,primary_n_retained_errors,primary_pct_cw_retained,primary_tier_cov_A,primary_tier_cov_B,primary_tier_cov_C,primary_class_cov_mutant,primary_class_cov_wildtype,held_n,locked_held_achieved_cov,locked_held_retained_acc,locked_held_retained_auroc,locked_held_n_retained_errors,locked_held_pct_cw_retained,locked_held_class_cov_mutant,locked_held_class_cov_wildtype,recal_held_achieved_cov,recal_held_retained_acc,recal_held_retained_auroc,recal_held_n_retained_errors,recal_held_pct_cw_retained,recal_held_class_cov_mutant,recal_held_class_cov_wildtype
conch,deep_ensemble,0.7,de_predictive_entropy_conch,0.4001679904936113,de_aleatoric_conch,0.3979291121618288,320,0.653125,3.8275862068965516,0.9090909090909091,0.8946833860697684,0.8939281057925126,0.8392624324827714,0.9448477370087539,0.07546077255355838,0.8708133971291866,0.9473684210526315,0.05471311821331837,-0.0007552802772557987,0.05909090909090908,19,100.0,0.6538461538461539,,0.625,0.5652173913043478,0.7421383647798742,102,0.696078431372549,0.9014084507042254,0.8790322580645161,7,100.0,0.6326530612244898,0.7547169811320755,0.7450980392156863,0.881578947368421,0.8759581881533101,9,100.0,0.7142857142857143,0.7735849056603774
conch,epistemic,0.9,within_encoder_mi_conch,0.0703915118018633,within_encoder_mi_conch,0.040843585011972494,320,0.9625,3.9999999999999716,0.8538961038961039,0.8946833860697684,0.8944193698063863,0.8565022988990594,0.9323459315813895,0.05420469393132795,0.814935064935065,0.8928571428571429,0.055690138181413384,-0.00026401626338212747,0.003896103896103953,45,55.55555555555556,0.9615384615384616,,1.0,0.937888198757764,0.9874213836477987,102,0.9705882352941176,0.8282828282828283,0.8657937806873978,17,58.8235294117647,0.9591836734693877,0.9811320754716981,0.8823529411764706,0.8444444444444444,0.8750622200099551,14,64.28571428571429,0.8367346938775511,0.9245283018867925
conch,epistemic,0.8,within_encoder_mi_conch,0.0420001543060091,within_encoder_mi_conch,0.024589719243889002,320,0.896875,3.666666666666664,0.8641114982578397,0.8946833860697684,0.8942007797270956,0.8469785575048733,0.9340180311890838,0.06220625073112675,0.8257839721254355,0.9024390243902439,0.05478460747927658,-0.0004826063426728311,0.01411149825783975,39,61.53846153846154,0.9006410256410257,,0.75,0.8385093167701864,0.9559748427672956,102,0.8823529411764706,0.8444444444444444,0.8750622200099551,14,64.28571428571429,0.8367346938775511,0.9245283018867925,0.7647058823529411,0.8589743589743589,0.8770053475935828,11,72.72727272727273,0.6938775510204082,0.8301886792452831
conch,epistemic,0.7,within_encoder_mi_conch,0.0288248790478706,within_encoder_mi_conch,0.01539480260916635,320,0.834375,4.076923076923075,0.8689138576779026,0.8946833860697684,0.8912131519274377,0.8416553287981859,0.9329549319727891,0.06525092313100717,0.8277153558052435,0.9101123595505618,0.05888832339532723,-0.0034702341423307193,0.018913857677902657,35,65.71428571428571,0.8397435897435898,,0.625,0.7453416149068323,0.9245283018867925,102,0.8235294117647058,0.8571428571428571,0.8804347826086957,12,66.66666666666667,0.7755102040816326,0.8679245283018868,0.6568627450980392,0.8805970149253731,0.8782051282051282,8,75.0,0.5714285714285714,0.7358490566037735
conch,laplace,0.9,laplace_epistemic_mi_conch,0.05019834122,laplace_aleatoric_conch,0.5544753514000001,320,0.653125,3.964285714285715,0.9043062200956937,0.8946833860697684,0.8821631878557875,0.8181973434535105,0.9345374762808349,0.0831471419393703,0.861244019138756,0.9425837320574163,0.05813268810165078,-0.012520198213980871,0.05430622009569375,20,100.0,0.657051282051282,,0.5,0.5279503105590062,0.779874213836478,102,0.6470588235294118,0.8787878787878788,0.8708452041785375,8,100.0,0.5510204081632653,0.7358490566037735,0.8725490196078431,0.8539325842696629,0.8723404255319149,13,76.92307692307692,0.8571428571428571,0.8867924528301887
conch,laplace,0.8,laplace_epistemic_mi_conch,0.04113666904,laplace_aleatoric_conch,0.4911830148000001,320,0.55,4.965517241379308,0.8920454545454546,0.8946833860697684,0.8609095982142857,0.7865234375,0.9281773158482143,0.1012386254256964,0.8465909090909091,0.9318181818181818,0.06091108863592085,-0.033773787855482684,0.04204545454545461,19,100.0,0.5512820512820513,,0.5,0.39751552795031053,0.7044025157232704,102,0.5196078431372549,0.8679245283018868,0.846031746031746,7,100.0,0.3673469387755102,0.660377358490566,0.7941176470588235,0.8765432098765432,0.8734567901234568,10,100.0,0.7346938775510204,0.8490566037735849
conch,laplace,0.7,laplace_epistemic_mi_conch,0.0321925189399999,laplace_aleatoric_conch,0.414359824,320,0.45625,5.437499999999999,0.8904109589041096,0.8946833860697684,0.8407321691563223,0.7561487481590574,0.9166894592888702,0.11473685796087443,0.8424657534246576,0.9315068493150684,0.06363679031917206,-0.053951216913446065,0.04041095890410962,16,100.0,0.4583333333333333,,0.375,0.30434782608695654,0.610062893081761,102,0.39215686274509803,0.875,0.8056426332288401,5,100.0,0.22448979591836735,0.5471698113207547,0.6862745098039216,0.8714285714285714,0.8704793944491169,9,100.0,0.5918367346938775,0.7735849056603774
conch,mc_dropout,0.9,mc_predictive_entropy_conch,0.642628140999916,mc_epistemic_mi_conch,0.010405240792154097,320,0.875,3.3333333333333313,0.8714285714285714,0.8946833860697684,0.8988959313023922,0.8574332958495194,0.9360611326927009,0.05619453710001411,0.8321428571428572,0.9035714285714286,0.05104929333296224,0.004212545232623821,0.021428571428571463,36,72.22222222222223,0.8782051282051282,,0.75,0.8322981366459627,0.9182389937106918,102,0.8725490196078431,0.8539325842696629,0.8741152679474217,13,76.92307692307692,0.8775510204081632,0.8679245283018868,0.9215686274509803,0.8404255319148937,0.8713636363636363,15,66.66666666666667,0.8979591836734694,0.9433962264150944
conch,mc_dropout,0.8,mc_predictive_entropy_conch,0.5265715257278275,mc_epistemic_mi_conch,0.00840197748861775,320,0.778125,3.3809523809523805,0.891566265060241,0.8946833860697684,0.8928058493275884,0.8461140488314401,0.9378541585063324,0.0655657487686838,0.8514056224899599,0.9236947791164659,0.051664345059865426,-0.0018775367421799416,0.04156626506024097,27,96.29629629629629,0.782051282051282,,0.625,0.6894409937888198,0.8679245283018868,102,0.7745098039215687,0.8734177215189873,0.874031007751938,10,100.0,0.7346938775510204,0.8113207547169812,0.7647058823529411,0.8589743589743589,0.8707070707070707,11,90.9090909090909,0.673469387755102,0.8490566037735849
conch,mc_dropout,0.7,mc_predictive_entropy_conch,0.4461025300074211,mc_epistemic_mi_conch,0.0072052030178528775,320,0.684375,4.040000000000001,0.8949771689497716,0.8946833860697684,0.8851304945054945,0.8254485748626373,0.932782451923077,0.07671046004471486,0.8538812785388128,0.9315068493150684,0.055478227457739754,-0.009552891564273858,0.04497716894977166,23,100.0,0.6858974358974359,,0.625,0.5652173913043478,0.8050314465408805,102,0.696078431372549,0.8732394366197183,0.8715447154471545,9,100.0,0.6122448979591837,0.7735849056603774,0.7156862745098039,0.863013698630137,0.8682170542635659,10,100.0,0.6122448979591837,0.8113207547169812
