predictor,family,signal,target_coverage,axis,level,n,realised_coverage,retained_prev,n_retained,metric,full,retained,d_full,d_full_lo,d_full_hi,d_full_p,d_full_mde,d_random,mde,p_raw,q_fdr,sig_fdr,q_fdr_full,sig_fdr_full
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,accuracy,0.7903225806451613,0.8333333333333334,0.043010752688172116,-0.02018872064955013,0.10244336819498986,0.184,0.08853530214680917,0.04174552398864795,0.08291713800677374,0.17582417582417584,0.3084545512291177,False,0.35344303797468357,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,ppv,0.9142857142857143,0.9565217391304348,0.042236024844720554,-0.04514483065953649,0.12319088743299582,0.324,0.12127768888931216,0.040731452508643406,0.09370351893555068,0.23176823176823177,0.5644355644355644,False,0.7756779661016949,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,npv,0.7155172413793104,0.7910447761194029,0.07552753474009255,-0.0010389283918695643,0.1512214092758448,0.054,0.10724712347485005,0.07474294388191016,0.11503481980284654,0.06393606393606394,0.14221998473966976,False,0.11513207547169811,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,sex,male,186,0.4838709677419355,0.4,90,f1,0.7664670658682635,0.7457627118644068,-0.02070435400385673,-0.13260192433137638,0.06830792222988112,0.67,0.14560518894955632,-0.0216557264937155,0.10141925442272201,0.5394605394605395,0.8020926441979074,False,1.0,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,age,20-39,104,0.3557692307692308,0.6216216216216216,37,auroc,0.8608647450110865,0.9472049689440993,0.08634022393301288,0.0013505033674911945,0.19542547990088152,0.046,0.13979257205633142,0.08739218477187749,0.15053261408709082,0.13186813186813187,0.5398948877209747,False,0.3476923076923077,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,age,20-39,104,0.3557692307692308,0.6216216216216216,37,auprc,0.9465608402212047,0.9688862513432207,0.022325411122016026,-0.02120757376184573,0.07521987881573265,0.284,0.06792930713504383,0.022540728387551723,0.06988061023364174,0.38961038961038963,0.6455421411433142,False,0.5812589928057553,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,age,20-39,104,0.3557692307692308,0.6216216216216216,37,bss,0.02305496719607525,0.4576382427273692,0.43458327553129394,0.10732106756830659,0.8351669171404974,0.008,0.52930986003728,0.46629152794953216,0.6617363336933445,0.015984015984015984,0.09122190940372758,False,0.041090909090909095,True
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,age,20-39,104,0.3557692307692308,0.6216216216216216,37,balanced_accuracy,0.7993348115299335,0.8555900621118013,0.056255250581867866,-0.039206171064917195,0.16462639790764783,0.252,0.144248641842776,0.058145896620818927,0.13118662532012965,0.21978021978021978,0.5173992673992674,False,0.7227411167512691,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,age,20-39,104,0.3557692307692308,0.6216216216216216,37,sensitivity,0.7804878048780488,0.782608695652174,0.0021208907741251393,-0.14423756508856403,0.14204728975804562,0.944,0.20572930259765088,0.0032775572325489666,0.12725766560079635,0.991008991008991,1.0,False,1.0,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,age,20-39,104,0.3557692307692308,0.6216216216216216,37,specificity,0.8181818181818182,0.9285714285714286,0.11038961038961037,-0.022443977591036442,0.2777777777777778,0.144,0.21679359374338691,0.113014236009089,0.2395980818671256,0.14185814185814186,0.32493544191657403,False,0.3902142857142857,False
uni2+hoptimus,epistemic,within_encoder_mi_uni2,0.7,age,20-39,104,0.3557692307692308,0.6216216216216216,37,brier,0.16294460421396822,0.12756792245565166,-0.03537668175831657,-0.10898522687859727,0.03299788585219329,0.338,0.1036464936868121,-0.03566851454818684,0.06743056889549923,0.12987012987012986,0.3153246753246753,False,0.496769975786925,False
