predictor,family,signal,target_coverage,axis,level,n,n_retained,realised_coverage
conch,deep_ensemble,de_predictive_entropy_conch,0.7,age,70+,11,8,0.7272727272727273
conch,deep_ensemble,de_predictive_entropy_conch,0.7,tier,a,312,204,0.6538461538461539
conch,deep_ensemble,de_predictive_entropy_conch,0.7,tier,c,8,5,0.625
conch,deep_ensemble,de_predictive_entropy_conch,0.7,tier_grouped,c,8,5,0.625
conch,epistemic,within_encoder_mi_conch,0.9,sex,female,134,132,0.9850746268656716
conch,epistemic,within_encoder_mi_conch,0.9,sex,male,186,176,0.946236559139785
conch,epistemic,within_encoder_mi_conch,0.9,age,20-39,104,101,0.9711538461538461
conch,epistemic,within_encoder_mi_conch,0.9,age,40-54,120,114,0.95
conch,epistemic,within_encoder_mi_conch,0.9,age,55-69,82,81,0.9878048780487805
conch,epistemic,within_encoder_mi_conch,0.9,age,70+,11,10,0.9090909090909091
conch,epistemic,within_encoder_mi_conch,0.9,tier,a,312,300,0.9615384615384616
conch,epistemic,within_encoder_mi_conch,0.9,tier,c,8,8,1.0
conch,epistemic,within_encoder_mi_conch,0.9,tier_grouped,c,8,8,1.0
conch,epistemic,within_encoder_mi_conch,0.8,sex,female,134,122,0.9104477611940298
conch,epistemic,within_encoder_mi_conch,0.8,sex,male,186,165,0.8870967741935484
conch,epistemic,within_encoder_mi_conch,0.8,age,20-39,104,89,0.8557692307692307
conch,epistemic,within_encoder_mi_conch,0.8,age,40-54,120,109,0.9083333333333333
conch,epistemic,within_encoder_mi_conch,0.8,age,55-69,82,77,0.9390243902439024
conch,epistemic,within_encoder_mi_conch,0.8,age,70+,11,10,0.9090909090909091
conch,epistemic,within_encoder_mi_conch,0.8,tier,a,312,281,0.9006410256410257
conch,epistemic,within_encoder_mi_conch,0.8,tier,c,8,6,0.75
conch,epistemic,within_encoder_mi_conch,0.8,tier_grouped,c,8,6,0.75
conch,epistemic,within_encoder_mi_conch,0.7,sex,female,134,110,0.8208955223880597
conch,epistemic,within_encoder_mi_conch,0.7,sex,male,186,157,0.8440860215053764
conch,epistemic,within_encoder_mi_conch,0.7,age,20-39,104,83,0.7980769230769231
conch,epistemic,within_encoder_mi_conch,0.7,age,40-54,120,97,0.8083333333333333
conch,epistemic,within_encoder_mi_conch,0.7,age,55-69,82,75,0.9146341463414634
conch,epistemic,within_encoder_mi_conch,0.7,age,70+,11,10,0.9090909090909091
conch,epistemic,within_encoder_mi_conch,0.7,tier,a,312,262,0.8397435897435898
conch,epistemic,within_encoder_mi_conch,0.7,tier,c,8,5,0.625
conch,epistemic,within_encoder_mi_conch,0.7,tier_grouped,c,8,5,0.625
conch,laplace,laplace_epistemic_mi_conch,0.9,sex,female,134,92,0.6865671641791045
conch,laplace,laplace_epistemic_mi_conch,0.9,sex,male,186,117,0.6290322580645161
conch,laplace,laplace_epistemic_mi_conch,0.9,age,20-39,104,57,0.5480769230769231
conch,laplace,laplace_epistemic_mi_conch,0.9,age,40-54,120,78,0.65
conch,laplace,laplace_epistemic_mi_conch,0.9,age,55-69,82,64,0.7804878048780488
conch,laplace,laplace_epistemic_mi_conch,0.9,age,70+,11,10,0.9090909090909091
conch,laplace,laplace_epistemic_mi_conch,0.9,tier,a,312,205,0.657051282051282
conch,laplace,laplace_epistemic_mi_conch,0.9,tier,c,8,4,0.5
conch,laplace,laplace_epistemic_mi_conch,0.9,tier_grouped,c,8,4,0.5
conch,laplace,laplace_epistemic_mi_conch,0.8,sex,female,134,79,0.5895522388059702
conch,laplace,laplace_epistemic_mi_conch,0.8,sex,male,186,97,0.521505376344086
conch,laplace,laplace_epistemic_mi_conch,0.8,age,20-39,104,39,0.375
conch,laplace,laplace_epistemic_mi_conch,0.8,age,40-54,120,72,0.6
conch,laplace,laplace_epistemic_mi_conch,0.8,age,55-69,82,57,0.6951219512195121
conch,laplace,laplace_epistemic_mi_conch,0.8,age,70+,11,8,0.7272727272727273
conch,laplace,laplace_epistemic_mi_conch,0.8,tier,a,312,172,0.5512820512820513
conch,laplace,laplace_epistemic_mi_conch,0.8,tier,c,8,4,0.5
conch,laplace,laplace_epistemic_mi_conch,0.8,tier_grouped,c,8,4,0.5
conch,laplace,laplace_epistemic_mi_conch,0.7,sex,female,134,65,0.48507462686567165
conch,laplace,laplace_epistemic_mi_conch,0.7,sex,male,186,81,0.43548387096774194
conch,laplace,laplace_epistemic_mi_conch,0.7,age,20-39,104,30,0.28846153846153844
conch,laplace,laplace_epistemic_mi_conch,0.7,age,40-54,120,60,0.5
conch,laplace,laplace_epistemic_mi_conch,0.7,age,55-69,82,50,0.6097560975609756
conch,laplace,laplace_epistemic_mi_conch,0.7,age,70+,11,6,0.5454545454545454
conch,laplace,laplace_epistemic_mi_conch,0.7,tier,a,312,143,0.4583333333333333
conch,laplace,laplace_epistemic_mi_conch,0.7,tier,c,8,3,0.375
conch,laplace,laplace_epistemic_mi_conch,0.7,tier_grouped,c,8,3,0.375
conch,mc_dropout,mc_predictive_entropy_conch,0.9,sex,female,134,116,0.8656716417910447
conch,mc_dropout,mc_predictive_entropy_conch,0.9,sex,male,186,164,0.8817204301075269
conch,mc_dropout,mc_predictive_entropy_conch,0.9,age,20-39,104,86,0.8269230769230769
conch,mc_dropout,mc_predictive_entropy_conch,0.9,age,40-54,120,106,0.8833333333333333
conch,mc_dropout,mc_predictive_entropy_conch,0.9,age,55-69,82,76,0.926829268292683
conch,mc_dropout,mc_predictive_entropy_conch,0.9,age,70+,11,10,0.9090909090909091
conch,mc_dropout,mc_predictive_entropy_conch,0.9,tier,a,312,274,0.8782051282051282
conch,mc_dropout,mc_predictive_entropy_conch,0.9,tier,c,8,6,0.75
conch,mc_dropout,mc_predictive_entropy_conch,0.9,tier_grouped,c,8,6,0.75
conch,mc_dropout,mc_predictive_entropy_conch,0.8,sex,female,134,103,0.7686567164179104
conch,mc_dropout,mc_predictive_entropy_conch,0.8,sex,male,186,146,0.7849462365591398
conch,mc_dropout,mc_predictive_entropy_conch,0.8,age,20-39,104,74,0.7115384615384616
conch,mc_dropout,mc_predictive_entropy_conch,0.8,age,40-54,120,92,0.7666666666666667
conch,mc_dropout,mc_predictive_entropy_conch,0.8,age,55-69,82,72,0.8780487804878049
conch,mc_dropout,mc_predictive_entropy_conch,0.8,age,70+,11,10,0.9090909090909091
conch,mc_dropout,mc_predictive_entropy_conch,0.8,tier,a,312,244,0.782051282051282
conch,mc_dropout,mc_predictive_entropy_conch,0.8,tier,c,8,5,0.625
conch,mc_dropout,mc_predictive_entropy_conch,0.8,tier_grouped,c,8,5,0.625
conch,mc_dropout,mc_predictive_entropy_conch,0.7,sex,female,134,94,0.7014925373134329
conch,mc_dropout,mc_predictive_entropy_conch,0.7,sex,male,186,125,0.6720430107526881
conch,mc_dropout,mc_predictive_entropy_conch,0.7,age,20-39,104,63,0.6057692307692307
conch,mc_dropout,mc_predictive_entropy_conch,0.7,age,40-54,120,80,0.6666666666666666
conch,mc_dropout,mc_predictive_entropy_conch,0.7,age,55-69,82,66,0.8048780487804879
conch,mc_dropout,mc_predictive_entropy_conch,0.7,age,70+,11,10,0.9090909090909091
conch,mc_dropout,mc_predictive_entropy_conch,0.7,tier,a,312,214,0.6858974358974359
conch,mc_dropout,mc_predictive_entropy_conch,0.7,tier,c,8,5,0.625
conch,mc_dropout,mc_predictive_entropy_conch,0.7,tier_grouped,c,8,5,0.625
conch,predictive,entropy_conch,0.9,sex,female,134,116,0.8656716417910447
conch,predictive,entropy_conch,0.9,sex,male,186,165,0.8870967741935484
conch,predictive,entropy_conch,0.9,age,20-39,104,85,0.8173076923076923
conch,predictive,entropy_conch,0.9,age,40-54,120,107,0.8916666666666667
conch,predictive,entropy_conch,0.9,age,55-69,82,77,0.9390243902439024
conch,predictive,entropy_conch,0.9,age,70+,11,10,0.9090909090909091
conch,predictive,entropy_conch,0.9,tier,a,312,275,0.8814102564102564
conch,predictive,entropy_conch,0.9,tier,c,8,6,0.75
conch,predictive,entropy_conch,0.9,tier_grouped,c,8,6,0.75
conch,predictive,entropy_conch,0.8,sex,female,134,103,0.7686567164179104
conch,predictive,entropy_conch,0.8,sex,male,186,145,0.7795698924731183
conch,predictive,entropy_conch,0.8,age,20-39,104,74,0.7115384615384616
conch,predictive,entropy_conch,0.8,age,40-54,120,91,0.7583333333333333
conch,predictive,entropy_conch,0.8,age,55-69,82,72,0.8780487804878049
conch,predictive,entropy_conch,0.8,age,70+,11,10,0.9090909090909091
conch,predictive,entropy_conch,0.8,tier,a,312,243,0.7788461538461539
conch,predictive,entropy_conch,0.8,tier,c,8,5,0.625
conch,predictive,entropy_conch,0.8,tier_grouped,c,8,5,0.625
conch,predictive,entropy_conch,0.7,sex,female,134,94,0.7014925373134329
conch,predictive,entropy_conch,0.7,sex,male,186,126,0.6774193548387096
conch,predictive,entropy_conch,0.7,age,20-39,104,64,0.6153846153846154
conch,predictive,entropy_conch,0.7,age,40-54,120,80,0.6666666666666666
conch,predictive,entropy_conch,0.7,age,55-69,82,66,0.8048780487804879
conch,predictive,entropy_conch,0.7,age,70+,11,10,0.9090909090909091
conch,predictive,entropy_conch,0.7,tier,a,312,215,0.6891025641025641
conch,predictive,entropy_conch,0.7,tier,c,8,5,0.625
conch,predictive,entropy_conch,0.7,tier_grouped,c,8,5,0.625
hoptimus,deep_ensemble,de_aleatoric_hoptimus,0.9,sex,female,134,121,0.9029850746268657
