dataset,encoder,patient_id,n_patches,featnorm_mean
ebrains,hoptimus,a195e20c-357f-11eb-a759-001a7dda7111,1360.0,33.76618795955882
ebrains,hoptimus,a195e20d-357f-11eb-89f6-001a7dda7111,2581.0,34.06818456993413
ebrains,hoptimus,a195e210-357f-11eb-92a3-001a7dda7111,790.0,33.73991297468354
ebrains,hoptimus,a195e214-357f-11eb-b09c-001a7dda7111,5601.0,31.843005155329404
ebrains,hoptimus,a195e218-357f-11eb-907e-001a7dda7111,339.0,33.70985435103245
ebrains,hoptimus,a195e21c-357f-11eb-b93b-001a7dda7111,2611.0,34.00327939486787
ebrains,hoptimus,a195e220-357f-11eb-88fe-001a7dda7111,2667.0,30.78181828833896
ebrains,hoptimus,a195e223-357f-11eb-a41f-001a7dda7111,453.0,34.67201296909492
ebrains,hoptimus,a195e226-357f-11eb-815b-001a7dda7111,4218.0,33.74362108819346
ebrains,hoptimus,a195e233-357f-11eb-9083-001a7dda7111,866.0,31.32585161662817
ebrains,hoptimus,a195e235-357f-11eb-8350-001a7dda7111,3099.0,31.83734672474992
ebrains,hoptimus,a195e242-357f-11eb-a382-001a7dda7111,1499.0,33.306120747164776
ebrains,hoptimus,a195e245-357f-11eb-9fd3-001a7dda7111,3986.0,32.85237001379829
ebrains,hoptimus,a195e249-357f-11eb-acce-001a7dda7111,1828.0,33.56773112691466
ebrains,hoptimus,a195e24e-357f-11eb-8cc5-001a7dda7111,863.0,31.610099217844727
ebrains,hoptimus,a195e250-357f-11eb-94fc-001a7dda7111,2535.0,33.05319896449704
ebrains,hoptimus,a195e254-357f-11eb-be23-001a7dda7111,195.0,33.29342948717949
ebrains,hoptimus,a195e255-357f-11eb-aed1-001a7dda7111,6674.0,34.22700264084507
ebrains,hoptimus,a195e256-357f-11eb-87f2-001a7dda7111,254.0,32.76630167322835
ebrains,hoptimus,a195e259-357f-11eb-ba43-001a7dda7111,1093.0,32.74678350869167
ebrains,hoptimus,a195e263-357f-11eb-aa84-001a7dda7111,5074.0,33.720074152542374
ebrains,hoptimus,a195e265-357f-11eb-a245-001a7dda7111,3263.0,32.756454949433035
ebrains,hoptimus,a195e269-357f-11eb-a6ab-001a7dda7111,1755.0,33.41569622507122
ebrains,hoptimus,a195e26c-357f-11eb-95a8-001a7dda7111,6467.0,30.385599485851245
ebrains,hoptimus,a195e26e-357f-11eb-a442-001a7dda7111,3048.0,33.08020115649607
ebrains,hoptimus,a195e272-357f-11eb-9885-001a7dda7111,879.0,32.2944752559727
ebrains,hoptimus,a195e275-357f-11eb-906a-001a7dda7111,5905.0,33.84340601185436
ebrains,hoptimus,a195e276-357f-11eb-afa4-001a7dda7111,246.0,29.848323170731707
ebrains,hoptimus,a19608e8-357f-11eb-ac12-001a7dda7111,916.0,32.05623976528384
ebrains,hoptimus,a19608fd-357f-11eb-8d12-001a7dda7111,3867.0,33.402031613654
ebrains,hoptimus,a19608fe-357f-11eb-ab16-001a7dda7111,5533.0,32.86557077986626
ebrains,hoptimus,a1960900-357f-11eb-82fc-001a7dda7111,588.0,32.65555909863946
ebrains,hoptimus,a196090c-357f-11eb-8d54-001a7dda7111,2932.0,31.548564333219645
ebrains,hoptimus,a1960910-357f-11eb-93ca-001a7dda7111,3256.0,34.5015308277027
ebrains,hoptimus,a1960911-357f-11eb-880f-001a7dda7111,5462.0,33.39518777462468
ebrains,hoptimus,a1960913-357f-11eb-9740-001a7dda7111,189.0,33.027116402116405
ebrains,hoptimus,a196091a-357f-11eb-ad55-001a7dda7111,2299.0,30.51506769247499
ebrains,hoptimus,a196091b-357f-11eb-ad04-001a7dda7111,2880.0,31.93082139756945
ebrains,hoptimus,a196091c-357f-11eb-9e7d-001a7dda7111,2498.0,33.4007768714972
ebrains,hoptimus,a1960927-357f-11eb-ba11-001a7dda7111,118.0,32.10963983050848
ebrains,hoptimus,a196092c-357f-11eb-b412-001a7dda7111,565.0,31.081360619469027
ebrains,hoptimus,a196092d-357f-11eb-974f-001a7dda7111,2760.0,32.51951992753623
ebrains,hoptimus,a1960931-357f-11eb-abad-001a7dda7111,4891.0,33.17099647311388
ebrains,hoptimus,a1960933-357f-11eb-9059-001a7dda7111,1304.0,34.07733416411043
ebrains,hoptimus,a1960936-357f-11eb-98e1-001a7dda7111,125.0,32.4145
ebrains,hoptimus,a1960940-357f-11eb-8fd3-001a7dda7111,627.0,33.881877990430624
ebrains,hoptimus,a1960947-357f-11eb-8838-001a7dda7111,3239.0,33.22846075177524
ebrains,hoptimus,a1960948-357f-11eb-bf70-001a7dda7111,6692.0,32.22080702704722
ebrains,hoptimus,a1960949-357f-11eb-8e9f-001a7dda7111,3640.0,34.450274725274724
ebrains,hoptimus,a196095a-357f-11eb-bf18-001a7dda7111,2335.0,31.726204496788007
ebrains,hoptimus,a196095b-357f-11eb-8039-001a7dda7111,3631.0,32.4349826149821
ebrains,hoptimus,a196095f-357f-11eb-a830-001a7dda7111,5562.0,32.90991044138799
ebrains,hoptimus,a1960962-357f-11eb-a72f-001a7dda7111,4080.0,34.11829044117647
ebrains,hoptimus,a1960967-357f-11eb-836b-001a7dda7111,712.0,31.68528353230337
ebrains,hoptimus,a196096a-357f-11eb-b997-001a7dda7111,4695.0,34.21027356230032
ebrains,hoptimus,a1960973-357f-11eb-ab24-001a7dda7111,682.0,32.888563049853374
ebrains,hoptimus,a1960981-357f-11eb-a860-001a7dda7111,6475.0,33.521657818532816
ebrains,hoptimus,a1960987-357f-11eb-abc9-001a7dda7111,112.0,30.718470982142858
ebrains,hoptimus,a196098d-357f-11eb-bfb7-001a7dda7111,4043.0,33.45868244496661
ebrains,hoptimus,a196098f-357f-11eb-b049-001a7dda7111,4311.0,32.87135742867084
ebrains,hoptimus,a1960998-357f-11eb-9566-001a7dda7111,2979.0,32.79397448808325
ebrains,hoptimus,a196099c-357f-11eb-abe4-001a7dda7111,144.0,34.168185763888886
ebrains,hoptimus,a196099f-357f-11eb-b66d-001a7dda7111,4796.0,33.81102741868224
