encoder,detector,variable,test,n_levels,levels,n_total,p_raw,rank_biserial,family,q
hoptimus,flow_energy,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.0026089246110390456,0.1512537382102599,F5,0.004515446442182964
uni2,flow_energy,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.0028301234628976516,-0.1500076681236101,F5,0.004805870031335635
conch,featnorm,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.020415487165993083,0.11649796794724332,F5,0.034025811943321806
uni2,flow_ood,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.02117293656180603,-0.11580783682232954,F5,0.0346466234647735
uni2,maha,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.05535689809121757,-0.09627329192546585,F5,0.08896644336088537
conch,n_patches,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.06642374511636788,0.0922283567211104,F5,0.10132435695717135
uni2,n_patches,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.06642374511636788,0.0922283567211104,F5,0.10132435695717135
hoptimus,n_patches,objective_power,mannwhitneyu,2,"[20.0, 40.0]",789,0.06642374511636788,0.0922283567211104,F5,0.10132435695717135
hoptimus,n_patches,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.08647531405090148,-0.07064831891048373,F5,0.12552868168679246
conch,n_patches,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.08647531405090148,-0.07064831891048373,F5,0.12552868168679246
uni2,n_patches,idh_status,mannwhitneyu,2,"['wildtype', 'mutant']",789,0.08647531405090148,-0.07064831891048373,F5,0.12552868168679246
conch,n_patches,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,0.09611595874515699,,F5,0.13308363518560198
uni2,n_patches,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,0.09611595874515699,,F5,0.13308363518560198
hoptimus,n_patches,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,0.09611595874515699,,F5,0.13308363518560198
hoptimus,maha,tumour_type,kruskal,4,"['gbm', 'unknown', 'astrocytoma', 'oligodendroglioma']",789,0.16780283322471418,,F5,0.2254067908988698
