encoder,detector,variant,dataset,n,spearman_rho,p
uni2,maha,mean,tcga,3945,-0.04745601499846684,0.0028692330010358
uni2,maha,median,ebrains,641,0.1443089282491974,0.00024667907373350625
uni2,maha,median,tcga,3945,-0.07007301042415814,1.0566048948883345e-05
uni2,maha,p90,ebrains,641,0.16349643075727888,3.1916985379644794e-05
uni2,maha,p90,tcga,3945,-0.04840735892968963,0.0023559926893425127
uni2,maha,p95,ebrains,641,0.18322619649685498,3.020088724596728e-06
uni2,maha,p95,tcga,3945,-0.021562342260939362,0.17572283635269817
uni2,maha,p99,ebrains,641,0.278720179950426,6.684749455694868e-13
uni2,maha,p99,tcga,3945,0.04753474024441965,0.002823176486507214
uni2,maha,std,ebrains,641,0.18726939844881188,1.8030748027593108e-06
uni2,maha,std,tcga,3945,-0.01518603515186577,0.340298327639182
uni2,maha,top5_mean,ebrains,641,0.2589791830310353,2.7767373884729016e-11
uni2,maha,top5_mean,tcga,3945,0.026131804464061922,0.1007810730326947
uni2,mahaenergy,mean,ebrains,641,0.1717837201451787,1.2239506130446757e-05
uni2,mahaenergy,mean,tcga,3945,-0.03925100457788806,0.013682432963847623
uni2,mahaenergy,p95,ebrains,641,0.1788851974200778,5.189477516300498e-06
uni2,mahaenergy,p95,tcga,3945,-0.018158968384572136,0.2541682175754887
uni2,mahaenergy,top5_mean,ebrains,641,0.2525725581202843,8.720362492879156e-11
uni2,mahaenergy,top5_mean,tcga,3945,0.028195001157939256,0.0766110609740664
uni2,mahapc,mean,ebrains,641,0.1240703422232947,0.0016481554079442818
uni2,mahapc,mean,tcga,3945,-0.05710368800371125,0.0003326746386031297
uni2,mahapc,p95,ebrains,641,0.1520483046437486,0.00011130190082865892
uni2,mahapc,p95,tcga,3945,-0.02755209264915843,0.08357563437184092
uni2,mahapc,top5_mean,ebrains,641,0.22663491151195017,6.5370903336566316e-09
uni2,mahapc,top5_mean,tcga,3945,0.01888010129284238,0.2357903434274064
uni2,n_patches,raw,ebrains,641,1.0,0.0
uni2,n_patches,raw,tcga,3945,1.0,0.0
