variable,level,encoder,detector,estimand,n_ebrains,n_tcga,auroc,auroc_ci_low,auroc_ci_high,n_boot_valid,n_boot_dropped
site,Henry Ford Hospital,hoptimus,flow_ood,tcga_side_only,641,173,0.8212226105659362,0.782713059989766,0.8547936520661089,500,0
site,MD Anderson Cancer Center,hoptimus,flow_ood,tcga_side_only,641,37,0.934770453593128,0.8896558088487849,0.9700086674902982,500,0
site,Mayo Clinic - Rochester,hoptimus,flow_ood,tcga_side_only,641,37,0.866406741043369,0.802201993623682,0.9207736527889732,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",hoptimus,flow_ood,tcga_side_only,641,17,0.8685725889192888,0.8117342044939541,0.91326991109801,500,0
site,The University of New South Wales,hoptimus,flow_ood,tcga_side_only,641,19,0.8387035903712772,0.7517858590717699,0.9026998827669824,500,0
site,Thomas Jefferson University,hoptimus,flow_ood,tcga_side_only,641,19,0.8715613525091799,0.8032652346379102,0.9238329823362564,500,0
site,UCSF,hoptimus,flow_ood,tcga_side_only,641,28,0.8673397702104098,0.8141300690322363,0.909783308782699,500,0
site,University of Florida,hoptimus,flow_ood,tcga_side_only,641,27,0.6836460127763423,0.5822105981813589,0.7807042089773425,500,0
site,University of Sao Paulo,hoptimus,flow_ood,tcga_side_only,641,17,0.9036615082079344,0.8390878728730015,0.9622203304144602,500,0
site,Case Western,hoptimus,flow_energy,tcga_side_only,641,69,0.7765818096281317,0.7292892746273076,0.8276796893457666,500,0
site,Case Western - St Joes,hoptimus,flow_energy,tcga_side_only,641,103,0.8425050095958456,0.8068612687223089,0.8733220583527734,500,0
site,Dept of Neurosurgery at University of Heidelberg,hoptimus,flow_energy,tcga_side_only,641,48,0.9013830850290698,0.8503659478893787,0.9412921294714048,500,0
site,Duke,hoptimus,flow_energy,tcga_side_only,641,59,0.871537289777953,0.8281054075279515,0.9110330870075658,500,0
site,Emory University,hoptimus,flow_energy,tcga_side_only,641,21,0.9108965485418974,0.8651190138558412,0.9481165599698064,500,0
site,Fondazione-Besta,hoptimus,flow_energy,tcga_side_only,641,21,0.8906082733480989,0.8534512497265927,0.9281024537782936,500,0
site,Henry Ford Hospital,hoptimus,flow_energy,tcga_side_only,641,173,0.8202333843034457,0.783770160149493,0.8596347388392024,500,0
site,MD Anderson Cancer Center,hoptimus,flow_energy,tcga_side_only,641,37,0.9338423816258118,0.8912319351789165,0.9689453351883,500,0
site,Mayo Clinic - Rochester,hoptimus,flow_energy,tcga_side_only,641,37,0.8735720458830925,0.8080139766971924,0.923984085389322,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",hoptimus,flow_energy,tcga_side_only,641,17,0.8680239683082535,0.814718612714696,0.9147229323626932,500,0
site,The University of New South Wales,hoptimus,flow_energy,tcga_side_only,641,19,0.8442064463484291,0.7677148455645117,0.905758735082616,500,0
site,Thomas Jefferson University,hoptimus,flow_energy,tcga_side_only,641,19,0.8754169216646268,0.8085219431218191,0.9255086323732288,500,0
site,UCSF,hoptimus,flow_energy,tcga_side_only,641,28,0.8665053121539315,0.8208960949929921,0.9063336091347242,500,0
site,University of Florida,hoptimus,flow_energy,tcga_side_only,641,27,0.6864807637094458,0.5894349754760168,0.7829613273031447,500,0
site,University of Sao Paulo,hoptimus,flow_energy,tcga_side_only,641,17,0.9113706965344278,0.8493072088387479,0.9636408136349844,500,0
site,Case Western,hoptimus,maha,tcga_side_only,641,69,0.7298906021795304,0.6567344598974205,0.7921120527643152,500,0
site,Case Western - St Joes,hoptimus,maha,tcga_side_only,641,103,0.8057183478211787,0.7652699748643524,0.8450576884355636,500,0
site,Dept of Neurosurgery at University of Heidelberg,hoptimus,maha,tcga_side_only,641,48,0.8597055676679588,0.7960755284858564,0.8999745051334516,500,0
site,Duke,hoptimus,maha,tcga_side_only,641,59,0.8412421166732361,0.7902614655779143,0.8847999464556433,500,0
site,Emory University,hoptimus,maha,tcga_side_only,641,21,0.8932210917312661,0.8406414326669399,0.9393927297396388,500,0
site,Fondazione-Besta,hoptimus,maha,tcga_side_only,641,21,0.800796534699151,0.7566363964242471,0.8470540488549302,500,0
site,Henry Ford Hospital,hoptimus,maha,tcga_side_only,641,173,0.7810833669400009,0.7413248471964686,0.8193697130769465,500,0
site,MD Anderson Cancer Center,hoptimus,maha,tcga_side_only,641,37,0.9092296511627908,0.8549483899759655,0.9496564489500262,500,0
site,Mayo Clinic - Rochester,hoptimus,maha,tcga_side_only,641,37,0.8237874502409387,0.7516215139269539,0.8880722112087751,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",hoptimus,maha,tcga_side_only,641,17,0.7937058253533971,0.7107742147220943,0.8653888145855142,500,0
site,The University of New South Wales,hoptimus,maha,tcga_side_only,641,19,0.8078360873113015,0.7231314030128976,0.8802014640215768,500,0
site,Thomas Jefferson University,hoptimus,maha,tcga_side_only,641,19,0.8098333588331293,0.7281606636171516,0.8793813288082754,500,0
site,UCSF,hoptimus,maha,tcga_side_only,641,28,0.8252232142857142,0.7553618871118977,0.8802379871713882,500,0
site,University of Florida,hoptimus,maha,tcga_side_only,641,27,0.6236537288257249,0.5158617294726368,0.7192952239854025,500,0
site,University of Sao Paulo,hoptimus,maha,tcga_side_only,641,17,0.8793376652986776,0.7962092974956873,0.9435720068468804,500,0
site,Case Western,hoptimus,n_patches,tcga_side_only,641,69,0.6317585453881587,0.5574850715937624,0.7012938142999222,500,0
site,Case Western - St Joes,hoptimus,n_patches,tcga_side_only,641,103,0.5849538082336119,0.5329942769743917,0.6338885775708968,500,0
site,Dept of Neurosurgery at University of Heidelberg,hoptimus,n_patches,tcga_side_only,641,48,0.6715436753068476,0.5880204937600852,0.7482703334035955,500,0
site,Duke,hoptimus,n_patches,tcga_side_only,641,59,0.8366753301143083,0.7933766007537764,0.8790072684953479,500,0
site,Emory University,hoptimus,n_patches,tcga_side_only,641,21,0.7739537190845331,0.6835174800682827,0.8575319442709368,500,0
site,Fondazione-Besta,hoptimus,n_patches,tcga_side_only,641,21,0.7476954711148025,0.6755509924552998,0.8053131189157015,500,0
site,Henry Ford Hospital,hoptimus,n_patches,tcga_side_only,641,173,0.3273750462091679,0.2840874943001532,0.3699714067175792,500,0
site,MD Anderson Cancer Center,hoptimus,n_patches,tcga_side_only,641,37,0.6494313717787554,0.5819230143435878,0.7163145487459233,500,0
site,Mayo Clinic - Rochester,hoptimus,n_patches,tcga_side_only,641,37,0.7663036219358894,0.7137484917635106,0.8188766296743666,500,0
site,"Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta",hoptimus,n_patches,tcga_side_only,641,17,0.7754171654126767,0.7239253629038656,0.8270066247410323,500,0
site,The University of New South Wales,hoptimus,n_patches,tcga_side_only,641,19,0.6614714019787842,0.5651227032246093,0.7548943687592432,500,0
site,Thomas Jefferson University,hoptimus,n_patches,tcga_side_only,641,19,0.4429642875356997,0.3681558391773403,0.5236495252438971,500,0
site,UCSF,hoptimus,n_patches,tcga_side_only,641,28,0.5777867178848284,0.467554520819345,0.6870476733873091,500,0
site,University of Florida,hoptimus,n_patches,tcga_side_only,641,27,0.7493075742894058,0.6901544951579813,0.8013218687155552,500,0
site,University of Sao Paulo,hoptimus,n_patches,tcga_side_only,641,17,0.8903068712950297,0.826799773081165,0.9546628991717784,500,0
