encoder,fold,detector,variant,fold_policy,n_id,n_ood,auroc,auprc_ood_positive,auprc_id_positive,prevalence_ood,fpr_at_95_tpr,rank_biserial,cohens_d,variance_ratio,ks_stat,ks_p,ks_stat_location,ks_stat_sign,auroc_ci_low,auroc_ci_high,n_boot_valid,n_boot_dropped
hoptimus,1,maha,p99,per_fold,128,789,0.7119276774397972,0.916934014907895,0.31902091858250214,0.8604143947655398,0.765625,0.42385535487959447,0.6387458601375512,0.7893359381218633,0.35059212610899876,1.4083708641334875e-12,133.5475263721455,1.0,0.658686826679341,0.7575062876267428,500,0
hoptimus,1,maha,std,per_fold,128,789,0.6441500316856781,0.9003298275791314,0.24064558493622668,0.8604143947655398,0.828125,0.28830006337135616,0.4059666676696444,0.9606862343093997,0.23891001267427123,5.124851982612241e-06,21.21627679652637,1.0,0.5871957679816223,0.6993828719106464,500,0
hoptimus,1,maha,top5_mean,per_fold,128,789,0.7306420310519646,0.9267735393680125,0.32711894281377246,0.8604143947655398,0.7421875,0.46128406210392914,0.7395308073953685,0.9543125222085406,0.3868920310519645,2.712017214834767e-15,128.36047164997146,1.0,0.6813207976869455,0.7809145773922687,500,0
hoptimus,1,mahaenergy,mean,per_fold,128,789,0.8285210709759189,0.9647188627807028,0.45617794146636576,0.8604143947655398,0.6015625,0.6570421419518377,1.3090157067199566,1.9042647254233118,0.5292399397972116,4.8190850979448184e-29,79.77426079905793,1.0,0.7938532259980988,0.8685366167617237,500,0
hoptimus,1,mahaenergy,p95,per_fold,128,789,0.7547726552598226,0.937583117014908,0.3479043913464571,0.8604143947655398,0.703125,0.5095453105196452,0.8829112159837458,1.2005475561492416,0.4092700411913815,4.050445808815135e-17,102.52131795022436,1.0,0.7060826600126743,0.8000712927756654,500,0
hoptimus,1,mahaenergy,top5_mean,per_fold,128,789,0.73154309252218,0.9267573037624566,0.3275542848926904,0.8604143947655398,0.7421875,0.46308618504435994,0.7415433091184607,0.9568598614731173,0.3944965937896071,6.68364625634308e-16,110.30741016342472,1.0,0.6838516912230672,0.778798815747782,500,0
hoptimus,1,mahapc,mean,per_fold,128,789,0.8433044201520912,0.9682612462808573,0.4713724282765191,0.8604143947655398,0.5703125,0.6866088403041823,1.382415769576839,2.0731317176500443,0.5508060044359949,1.324278352266953e-31,64.0389158963665,1.0,0.8070082283745248,0.8787817351869454,500,0
hoptimus,1,mahapc,p95,per_fold,128,789,0.7724374207858048,0.9420498216646755,0.36288059691511676,0.8604143947655398,0.6875,0.5448748415716096,0.9463808611535354,1.2721121138463447,0.4544815430925222,3.496468835662255e-21,107.89277350654098,1.0,0.7254208254119138,0.8187420785804816,500,0
hoptimus,1,mahapc,top5_mean,per_fold,128,789,0.7483761089987326,0.9311701093848952,0.344144003022299,0.8604143947655398,0.7734375,0.4967522179974653,0.8047361292800201,1.0091619561077363,0.4396684885931559,8.631911101398549e-20,127.95310288327092,1.0,0.7000789666508238,0.7952704174588087,500,0
hoptimus,1,n_patches,raw,per_fold,128,789,0.5440777487325729,0.8857217326231509,0.1728376766967721,0.8604143947655398,0.953125,0.08815549746514573,0.1813320088604672,1.2746791797147696,0.09791864702154626,0.224531174135608,3643.0,1.0,0.4993193767823194,0.594032943203422,500,0
